categoria,pergunta
saudacao,oi
saudacao,ola
saudacao,opa
saudacao,eai
saudacao,e ai
saudacao,bom dia
saudacao,boa tarde
saudacao,boa noite
saudacao,oii
saudacao,oie
saudacao,salve
saudacao,eae
saudacao,olá
saudacao,oi tudo bem
saudacao,oi bom dia
saudacao,bom diaa
saudacao,"oi, tudo bem?"
saudacao,hey
saudacao,oi td bem
saudacao_giria,mano
saudacao_giria,bro
saudacao_giria,fala ai
saudacao_giria,e ai parceiro
saudacao_giria,salve mano
saudacao_giria,diva
saudacao_giria,amiga
saudacao_giria,oi diva
saudacao_giria,fala mana
saudacao_giria,eai bro
despedida,tchau
despedida,ate logo
despedida,flw
despedida,falou
despedida,ate mais
despedida,vlw
despedida,ate a proxima
despedida,era so isso
despedida,resolvido
despedida,encerrar
despedida,ate amanha
despedida,valeu flw
despedida,ok tchau
agradecimento,obrigado
agradecimento,obrigada
agradecimento,valeu
agradecimento,obg
agradecimento,vlw obg
agradecimento,muito obrigada
agradecimento,brigado
agradecimento,obrigado mesmo
agradecimento,obrigada pela ajuda
elogio,muito bom
elogio,perfeito
elogio,adorei
elogio,amei
elogio,parabens
elogio,otimo atendimento
elogio,voce e otimo
elogio,que legal
elogio,sensacional
elogio,top demais
elogio,arrasou
elogio,que tudo
elogio,adorei o atendimento
elogio,voces sao otimos
ofensa,voce e burro
ofensa,que bot inutil
ofensa,idiota
ofensa,porcaria de bot
ofensa,nao presta pra nada
ofensa,voce e pessimo
qualidade,me fala sobre qualidade
qualidade,quero saber da qualidade
qualidade,sobre qualidade
qualidade,qualidade das pecas
qualidade,topico qualidade
qualidade,fala da qualidade
qualidade,as pecas sao originais?
qualidade,e original mesmo?
qualidade,e produto autentico?
qualidade,e falsificado?
qualidade,as roupas sao autenticas
qualidade,isso e original ou replica
qualidade,as pecas sao duraveis?
qualidade,quantas lavagens aguenta
qualidade,a roupa dura muito?
qualidade,e resistente?
qualidade,aguenta bastante lavagem
qualidade,dura por quanto tempo
qualidade,como e o controle de qualidade
qualidade,tem inspecao
qualidade,voces verificam as pecas
qualidade,como funciona a inspecao
qualidade,tem controle de qualidade
qualidade,veio com defeito
qualidade,minha peca veio com defeito
qualidade,peca com defeito
qualidade,tem defeito de fabricacao
qualidade,chegou com problema
qualidade,a costura ta com defeito
qualidade,tem certificacao
qualidade,tem selo
qualidade,quais certificados voces tem
qualidade,tem certificado de qualidade
qualidade,possui algum selo
personalizacao,quero personalizar
personalizacao,sobre personalizacao
personalizacao,fazem customizacao
personalizacao,posso customizar a peca
personalizacao,da pra personalizar
personalizacao,quero customizar minha roupa
personalizacao,quais tipos de personalizacao
personalizacao,opcoes de personalizacao
personalizacao,que tipos de estampa tem
personalizacao,quais formas de personalizar
personalizacao,como funciona o silk
personalizacao,o que e silkscreen
personalizacao,fazem serigrafia
personalizacao,me explica o silk screen
personalizacao,silk serve pra que
personalizacao,o que e dtf
personalizacao,como funciona dtf
personalizacao,fazem impressao digital
personalizacao,estampa digital dtf
personalizacao,me fala do dtf
personalizacao,fazem bordado
personalizacao,como e o bordado
personalizacao,quero bordar minha peca
personalizacao,tem bordado?
personalizacao,bordado na camiseta
personalizacao,fazem etiqueta personalizada
personalizacao,etiqueta com minha marca
personalizacao,posso por minha etiqueta
personalizacao,etiqueta propria
personalizacao,fazem modelagem exclusiva
personalizacao,criam modelagem propria
personalizacao,modelagem sob medida
personalizacao,qual o prazo de personalizacao
personalizacao,quanto tempo pra personalizar
personalizacao,demora pra personalizar
personalizacao,prazo pra estampar
personalizacao,como envio a arte
personalizacao,qual formato da arte
personalizacao,posso mandar png
personalizacao,como mando o arquivo
personalizacao,aceita arquivo cdr
cores,quais cores tem
cores,que cores voces tem
cores,paleta de cores
cores,cores disponiveis
cores,quais as cores
cores,tem quais cores
cores,quais cores em estoque
cores,cores pronta entrega
cores,cores basicas
cores,fazem tingimento
cores,posso pedir cor personalizada
cores,tingem sob demanda
cores,consigo uma cor especifica
cores,cor fora da paleta
cores,quantas cores na estampa
cores,limite de cores
cores,maximo de cores na estampa
cores,estampa em peca escura fica boa
cores,combina estampa com peca escura
tamanhos,quais tamanhos
tamanhos,grade de tamanho
tamanhos,que tamanhos tem
tamanhos,tabela de tamanho
tamanhos,quais os tamanhos disponiveis
tamanhos,tem tamanho adulto
tamanhos,grade adulto
tamanhos,tem tamanho gg
tamanhos,tamanho m tem
tamanhos,voces tem p m g gg
tamanhos,tem tamanho infantil
tamanhos,roupa de crianca
tamanhos,tamanho pra crianca
tamanhos,fazem tamanho infantil
tamanhos,tem plus size
tamanhos,tamanho plus
tamanhos,voces fazem g1 g2 g3
tamanhos,tem tamanho grande
tamanhos,atendem plus size
tamanhos,tem tabela de medidas
tamanhos,medidas em cm
tamanhos,qual a medida do busto
tamanhos,tabela de medidas em centimetros
quantidade_minima,qual a quantidade minima
quantidade_minima,tem pedido minimo
quantidade_minima,minimo de pecas
quantidade_minima,qual o minimo pra pedir
quantidade_minima,quantas pecas no minimo
quantidade_minima,minimo por peca
quantidade_minima,minimo pra silk
quantidade_minima,minimo pra bordado
quantidade_minima,quantas pecas por cor no minimo
quantidade_minima,minimo por cor
quantidade_minima,faco pedido de 1000 pecas
quantidade_minima,pedido de alto volume
quantidade_minima,atacado grande
quantidade_minima,pedido grande de 500 pecas
quantidade_minima,quero poucas pecas
quantidade_minima,pedido pequeno
quantidade_minima,menos de 30 pecas
quantidade_minima,da pra fazer so 5 pecas
sustentabilidade,voces sao sustentaveis
sustentabilidade,sobre sustentabilidade
sustentabilidade,e ecologico
sustentabilidade,se preocupam com meio ambiente
sustentabilidade,praticas sustentaveis
sustentabilidade,aproveitam o tecido
sustentabilidade,reduzem desperdicio
sustentabilidade,encaixe de molde
sustentabilidade,usam algodao organico
sustentabilidade,tem poliester reciclado
sustentabilidade,material ecologico
sustentabilidade,usam rpet
sustentabilidade,voces reciclam
sustentabilidade,fazem reciclagem de tecido
sustentabilidade,reciclam retalho
sustentabilidade,a tinta e toxica
sustentabilidade,usam quimica nociva
sustentabilidade,a tinta faz mal
sustentabilidade,as condicoes de trabalho sao boas
sustentabilidade,tem trabalho escravo
sustentabilidade,e trabalho digno
sustentabilidade,e vegano
sustentabilidade,tem produto de origem animal
sustentabilidade,e cruelty free
sustentabilidade,usam couro animal
sustentabilidade,a embalagem e sustentavel
sustentabilidade,embalagem reciclavel
sustentabilidade,caixa reciclada
manutencao,como cuido da peca
manutencao,cuidados com a roupa
manutencao,sobre manutencao
manutencao,como conservar a roupa
manutencao,como lavo a peca
manutencao,posso lavar na maquina
manutencao,como faco a lavagem
manutencao,pode lavar a mao
manutencao,lavar a peca
manutencao,posso passar ferro
manutencao,pode passar a ferro
manutencao,qual temperatura do ferro
manutencao,pode por na secadora
manutencao,posso secar na secadora
manutencao,secadora pode
manutencao,posso usar alvejante
manutencao,pode agua sanitaria
manutencao,pode qboa
manutencao,usar cloro
manutencao,como tiro mancha
manutencao,remover mancha de oleo
manutencao,mancha de comida
manutencao,como cuido do algodao
manutencao,algodao encolhe
manutencao,como lavar algodao
manutencao,como cuido da viscose
manutencao,viscose amassa
manutencao,como lavar viscose
manutencao,como cuido do poliester
manutencao,como lavar poliester
manutencao,como cuido do linho
manutencao,linho amassa muito
manutencao,como lavar linho
manutencao,como cuido do jeans
manutencao,jeans desbota
manutencao,como lavar jeans
manutencao,como cuido da la
manutencao,como lavar la
manutencao,cuidado com trico
manutencao,como cuido da malha
manutencao,malha estica
manutencao,malha encolhe
manutencao,como cuido do moletom
manutencao,moletom encolhe
manutencao,moletom desbota
manutencao,minha peca encolheu
manutencao,a roupa encolheu na lavagem
manutencao,encolheu tudo
manutencao,minha peca desbotou
manutencao,perdeu a cor
manutencao,a cor saiu na lavagem
producao,como e a producao
producao,processo produtivo
producao,como voces produzem
producao,como funciona a producao
producao,quais as etapas de producao
producao,fases da producao
producao,passos da producao
producao,fluxo de producao
producao,onde fica a fabrica
producao,onde produzem
producao,onde e produzido
producao,local da fabrica
producao,qual a capacidade produtiva
producao,quantas pecas por mes
producao,capacidade da fabrica
producao,que tecnologia usam
producao,quais maquinas tem
producao,usam automacao
producao,tem equipamento moderno
producao,quantos funcionarios tem
producao,sobre a equipe
producao,quantos colaboradores
producao,como e a modelagem
producao,fazem prova piloto
producao,tem ficha tecnica
producao,como e o corte e costura
producao,que tipo de costura
producao,maquina de corte
catalogo,o que voces fazem
catalogo,quais produtos voces tem
catalogo,que tipo de produto fazem
catalogo,quais pecas voces produzem
catalogo,o que da pra fazer
catalogo,fazem camiseta
catalogo,voces fazem polo
catalogo,tem regata
catalogo,fazem baby look
catalogo,produzem oversized
catalogo,fazem moletom
catalogo,tem jaqueta
catalogo,produzem hoodie
catalogo,fazem calca
catalogo,tem calca jeans
catalogo,produzem legging
catalogo,fazem bermuda
catalogo,tem jogger
catalogo,fazem vestido
catalogo,tem vestido midi
catalogo,produzem vestido longo
catalogo,fazem uniforme
catalogo,produzem uniforme corporativo
catalogo,tem jaleco
catalogo,fazem roupa infantil
catalogo,tem roupa de crianca
catalogo,produzem moda infantil
catalogo,fazem calcado
catalogo,voces fazem sapato
catalogo,tem tenis
catalogo,fazem acessorio
catalogo,fazem bone
sugestao_produto,me sugere uma peca
sugestao_produto,o que voce indica
sugestao_produto,me indica um produto
sugestao_produto,qual peca voce recomenda
sugestao_produto,peca pra usar no dia a dia
sugestao_produto,algo casual
sugestao_produto,peca basica pro cotidiano
sugestao_produto,peca pra trabalhar
sugestao_produto,algo corporativo
sugestao_produto,roupa pro escritorio
sugestao_produto,peca pra reuniao
sugestao_produto,peca pra academia
sugestao_produto,roupa pra treino
sugestao_produto,algo pra esporte
sugestao_produto,roupa pra corrida
sugestao_produto,peca pra festa
sugestao_produto,roupa pra casamento
sugestao_produto,algo pra formatura
sugestao_produto,peca pra evento
sugestao_produto,peca pra inverno
sugestao_produto,roupa pra frio
sugestao_produto,algo quentinho
sugestao_produto,peca pra verao
sugestao_produto,roupa pra calor
sugestao_produto,algo leve e fresco
sugestao_produto,qual uniforme voce indica
sugestao_produto,sugestao de uniforme
sugestao_produto,melhor uniforme
sugestao_produto,sugestao de presente
sugestao_produto,presente pra namorada
sugestao_produto,quero presentear alguem
tecidos,quais tecidos voces tem
tecidos,sobre tecidos
tecidos,que tecido usam
tecidos,quais os tecidos
tecidos,lista de tecidos
tecidos,tecidos disponiveis
tecidos,qual a composicao do tecido
tecidos,porcentagem de algodao
tecidos,do que e feito o tecido
tecidos,de onde vem o tecido
tecidos,origem do tecido
tecidos,quem e o fornecedor de tecido
tecidos,tenho pele sensivel qual tecido
tecidos,sou alergico que tecido
tecidos,tecido pra dermatite
tecidos,trabalham com couro
tecidos,tem couro vegano
tecidos,fazem couro sintetico
tecidos,qual tecido pra calor
tecidos,tecido fresco pra verao
tecidos,tecido leve e respiravel
tecidos,qual tecido pra frio
tecidos,tecido quente pra inverno
tecidos,tecido grosso
tecidos,qual tecido resistente
tecidos,tecido duravel pra usar muito
tecidos,tecido do dia a dia
tecidos,qual tecido pra academia
tecidos,tecido que absorve suor
tecidos,tecido esportivo
tecidos,qual tecido formal
tecidos,tecido elegante
tecidos,tecido sofisticado pra alfaiataria
tecidos,quais cores de tecido em estoque
tecidos,cor do tecido disponivel
disponibilidade,tem material disponivel
disponibilidade,materia prima em estoque
disponibilidade,tem tecido em estoque
disponibilidade,tem algodao em estoque
disponibilidade,tem jeans em estoque
disponibilidade,quando repoe o estoque
disponibilidade,vai ter de novo quando
disponibilidade,quando volta o material
disponibilidade,tem pronta entrega
disponibilidade,tem peca pronta
disponibilidade,voces tem em estoque pra entrega
prazo,qual o prazo
prazo,quanto tempo demora
prazo,quando fica pronto
prazo,previsao de prazo
prazo,prazo de entrega da producao
prazo,em quanto tempo fica pronto
prazo,qual o prazo padrao
prazo,prazo comum
prazo,prazo normal
prazo,tempo medio de producao
prazo,prazo com personalizacao
prazo,prazo com bordado
prazo,prazo com silk
prazo,prazo com dtf
prazo,tenho urgencia
prazo,preciso urgente
prazo,pra ontem
prazo,prazo curto
prazo,consigo rapido
prazo,prazo pra pedido grande
prazo,prazo de lote grande
prazo,prazo de 500 pecas
prazo,meu pedido atrasou
prazo,passou do prazo
prazo,ta atrasado
prazo,estourou o prazo
prazo_combinado,qual o prazo de 50 camisetas
prazo_combinado,prazo de 50 camisetas
prazo_combinado,quando fica pronto 50 camisetas
preco_combinado,preco de 50 camisetas
preco_combinado,quanto custa 50 camisetas
preco_combinado,valor de 50 camisetas
preco_combinado,quanto fica 50 camisetas
prazo_combinado,qual o prazo de 50 polos
prazo_combinado,prazo de 50 polos
prazo_combinado,quando fica pronto 50 polos
preco_combinado,preco de 50 polos
preco_combinado,quanto custa 50 polos
preco_combinado,valor de 50 polos
preco_combinado,quanto fica 50 polos
prazo_combinado,qual o prazo de 50 moletons
prazo_combinado,prazo de 50 moletons
prazo_combinado,quando fica pronto 50 moletons
preco_combinado,preco de 50 moletons
preco_combinado,quanto custa 50 moletons
preco_combinado,valor de 50 moletons
preco_combinado,quanto fica 50 moletons
prazo_combinado,qual o prazo de 100 camisetas
prazo_combinado,prazo de 100 camisetas
prazo_combinado,quando fica pronto 100 camisetas
preco_combinado,preco de 100 camisetas
preco_combinado,quanto custa 100 camisetas
preco_combinado,valor de 100 camisetas
preco_combinado,quanto fica 100 camisetas
prazo_combinado,qual o prazo de 100 polos
prazo_combinado,prazo de 100 polos
prazo_combinado,quando fica pronto 100 polos
preco_combinado,preco de 100 polos
preco_combinado,quanto custa 100 polos
preco_combinado,valor de 100 polos
preco_combinado,quanto fica 100 polos
prazo_combinado,qual o prazo de 100 moletons
prazo_combinado,prazo de 100 moletons
prazo_combinado,quando fica pronto 100 moletons
preco_combinado,preco de 100 moletons
preco_combinado,quanto custa 100 moletons
preco_combinado,valor de 100 moletons
preco_combinado,quanto fica 100 moletons
prazo_combinado,qual o prazo de 200 camisetas
prazo_combinado,prazo de 200 camisetas
prazo_combinado,quando fica pronto 200 camisetas
preco_combinado,preco de 200 camisetas
preco_combinado,quanto custa 200 camisetas
preco_combinado,valor de 200 camisetas
preco_combinado,quanto fica 200 camisetas
prazo_combinado,qual o prazo de 200 polos
prazo_combinado,prazo de 200 polos
prazo_combinado,quando fica pronto 200 polos
preco_combinado,preco de 200 polos
preco_combinado,quanto custa 200 polos
preco_combinado,valor de 200 polos
preco_combinado,quanto fica 200 polos
prazo_combinado,qual o prazo de 200 moletons
prazo_combinado,prazo de 200 moletons
prazo_combinado,quando fica pronto 200 moletons
preco_combinado,preco de 200 moletons
preco_combinado,quanto custa 200 moletons
preco_combinado,valor de 200 moletons
preco_combinado,quanto fica 200 moletons
prazo_combinado,qual o prazo de 500 camisetas
prazo_combinado,prazo de 500 camisetas
prazo_combinado,quando fica pronto 500 camisetas
preco_combinado,preco de 500 camisetas
preco_combinado,quanto custa 500 camisetas
preco_combinado,valor de 500 camisetas
preco_combinado,quanto fica 500 camisetas
prazo_combinado,qual o prazo de 500 polos
prazo_combinado,prazo de 500 polos
prazo_combinado,quando fica pronto 500 polos
preco_combinado,preco de 500 polos
preco_combinado,quanto custa 500 polos
preco_combinado,valor de 500 polos
preco_combinado,quanto fica 500 polos
prazo_combinado,qual o prazo de 500 moletons
prazo_combinado,prazo de 500 moletons
prazo_combinado,quando fica pronto 500 moletons
preco_combinado,preco de 500 moletons
preco_combinado,quanto custa 500 moletons
preco_combinado,valor de 500 moletons
preco_combinado,quanto fica 500 moletons
prazo_combinado,prazo camiseta bordada
prazo_combinado,prazo polo com silk
prazo_combinado,prazo moletom com dtf
preco_combinado,quanto custa com bordado
preco_combinado,quanto fica com silk
preco_combinado,preco da personalizacao
desconto,tem desconto por volume
desconto,desconto pra atacado
desconto,desconto progressivo
desconto,quanto mais compro mais barato
compat_tecido_produto,posso fazer camiseta de algodao
compat_tecido_produto,da pra usar algodao em camiseta
compat_tecido_produto,camiseta de algodao fica bom
compat_tecido_produto,algodao serve pra camiseta
compat_tecido_produto,posso fazer camiseta de viscose
compat_tecido_produto,da pra usar viscose em camiseta
compat_tecido_produto,camiseta de viscose fica bom
compat_tecido_produto,viscose serve pra camiseta
compat_tecido_produto,posso fazer camiseta de linho
compat_tecido_produto,da pra usar linho em camiseta
compat_tecido_produto,camiseta de linho fica bom
compat_tecido_produto,linho serve pra camiseta
compat_tecido_produto,posso fazer camiseta de jeans
compat_tecido_produto,da pra usar jeans em camiseta
compat_tecido_produto,camiseta de jeans fica bom
compat_tecido_produto,jeans serve pra camiseta
compat_tecido_produto,quais tecidos pra camiseta
compat_tecido_produto,quais tecidos pra polo
compat_tecido_produto,que tecido posso usar em moletom
compat_tecido_produto,quais tecidos servem pra vestido
compat_pers_tecido,posso fazer bordado em jeans
compat_pers_tecido,da pra bordar viscose
compat_pers_tecido,silk em algodao funciona
compat_pers_tecido,posso estampar no linho
compat_cor_tecido,tem algodao vermelho
compat_cor_tecido,moletom preto disponivel
compat_cor_tecido,viscose rosa tem
compat_cor_tecido,algodao na cor marinho
compat_cor_tecido,quais cores em algodao
compat_cor_tecido,cores disponiveis em viscose
compat_cor_tecido,que cores tem no moletom
compat_tamanho_produto,tem camiseta plus size
compat_tamanho_produto,polo plus size tem
compat_tamanho_produto,moletom em plus
compat_tamanho_produto,vestido plus size
gramatura,qual gramatura pra camiseta
gramatura,qual peso de tecido usar
gramatura,tecido grosso ou fino pra moletom
gramatura,quantas gramas o tecido
viabilidade,consigo 500 camisetas em 10 dias
viabilidade,da pra produzir 1000 pecas em 20 dias
viabilidade,conseguem fazer 300 moletons em 15 dias
viabilidade,e viavel 200 polos em 5 dias
viabilidade,qual a capacidade tecnica
viabilidade,voces conseguem produzir isso
viabilidade,da pra produzir esse volume
consumo,quantos metros pra 100 camisetas
consumo,quantos metros de tecido pra 50 polos
consumo,metros de tecido pra 200 moletons
pedido_status,qual o status do meu pedido
pedido_status,onde esta meu pedido
pedido_status,andamento do pedido
pedido_status,em que etapa ta meu pedido
pedido_status,quero acompanhar meu pedido
pedido_status,rastrear pedido
pedido_status,status do pedido FF-2024-0001
pedido_status,meu pedido FF-2024-0002
pedido_status,cade o pedido FF-2024-0003
pedido_alterar,quero alterar meu pedido
pedido_alterar,mudar o pedido
pedido_alterar,preciso trocar tamanho do pedido
pedido_alterar,alterar a cor do pedido
pedido_alterar,modificar meu pedido
pedido_cancelar,quero cancelar o pedido
pedido_cancelar,cancelar meu pedido
pedido_cancelar,desisti do pedido
pedido_cancelar,quero cancelamento
pedido_cancelar,cancela ai
pedido_registrar,quero fazer um pedido
pedido_registrar,registrar um pedido
pedido_registrar,fazer pedido novo
pedido_registrar,quero registrar pedido
pedido_registrar,novo pedido
pedido_registrar,abrir um pedido
pedido_registrar,cadastrar pedido
b2b,atendem empresa
b2b,fazem atendimento b2b
b2b,atendem pessoa juridica
b2b,vendem pra empresa
b2b,fazem private label
b2b,produzem pra minha marca
b2b,white label
b2b,peca com minha marca
b2b,quero revender
b2b,sou revendedor
b2b,compro pra revender
b2b,atendem atacadista
b2b,fazem uniforme escolar
b2b,uniforme de escola
b2b,farda escolar
b2b,camiseta pra escola
b2b,uniforme pra empresa com logo e prazo
b2b,uniforme empresa preco e prazo
bot_meta,voce e um robo
bot_meta,voce e ia
bot_meta,voce e humano
bot_meta,qual seu nome
bot_meta,voce e um bot
bot_meta,to falando com uma pessoa
bot_meta,quero falar com atendente
bot_meta,quero um humano
bot_meta,me passa pra uma pessoa
bot_meta,falar com alguem de verdade
bot_meta,quero atendente humano
bot_meta,qual o horario de atendimento
bot_meta,que horas voces atendem
bot_meta,horario de funcionamento
setor_vendas,quanto custa uma camiseta
setor_vendas,qual o preco
setor_vendas,quero comprar
setor_vendas,qual o valor
setor_vendas,quanto sai uma polo
setor_vendas,formas de pagamento
setor_vendas,aceita cartao
setor_vendas,parcela em quantas vezes
setor_logistica,voces entregam
setor_logistica,qual o frete
setor_logistica,como e a entrega
setor_logistica,fazem envio
setor_logistica,entregam em todo brasil
setor_logistica,qual transportadora
setor_logistica,quanto custa o frete
setor_logistica,codigo de rastreio
setor_devolucao,quero devolver
setor_devolucao,como faco a troca
setor_devolucao,veio tamanho errado quero trocar
setor_devolucao,politica de devolucao
setor_devolucao,quero meu dinheiro de volta
setor_devolucao,como devolvo a peca
setor_compras,quero ser fornecedor
setor_compras,como vendo pra voces
setor_compras,setor de compras
setor_compras,quero fornecer tecido
setor_almoxarifado,controle de estoque interno
setor_almoxarifado,almoxarifado
setor_almoxarifado,estocagem de material
fallback_ok,asdfgh
fallback_ok,kkkk
fallback_ok,xpto qwerty
fallback_ok,??????
fallback_ok,aaaaa
fallback_ok,123xyz
fallback_ok,lorem ipsum
fallback_ok,blablabla
fallback_ok,test test
fallback_ok,.....
fallback_ok,qual a capital da franca
fallback_ok,me conta uma piada
fallback_ok,que horas sao
fallback_ok,qual o resultado do jogo
fallback_ok,vai chover amanha
catalogo,voces fazem camiseta
catalogo,tem camiseta
catalogo,produzem camiseta
catalogo,vende camiseta
catalogo,trabalham com camiseta
catalogo,da pra fazer camiseta
catalogo,tem camiseta ai
catalogo,voces fazem camisetas
catalogo,fazem camisetas
catalogo,tem camisetas
catalogo,produzem camisetas
catalogo,vende camisetas
catalogo,trabalham com camisetas
catalogo,da pra fazer camisetas
catalogo,tem camisetas ai
catalogo,fazem polo
catalogo,tem polo
catalogo,produzem polo
catalogo,vende polo
catalogo,trabalham com polo
catalogo,da pra fazer polo
catalogo,tem polo ai
catalogo,voces fazem moletom
catalogo,tem moletom
catalogo,produzem moletom
catalogo,vende moletom
catalogo,trabalham com moletom
catalogo,da pra fazer moletom
catalogo,tem moletom ai
catalogo,voces fazem jaqueta
catalogo,fazem jaqueta
catalogo,produzem jaqueta
catalogo,vende jaqueta
catalogo,trabalham com jaqueta
catalogo,da pra fazer jaqueta
catalogo,tem jaqueta ai
catalogo,voces fazem calca jeans
catalogo,fazem calca jeans
catalogo,produzem calca jeans
catalogo,vende calca jeans
catalogo,trabalham com calca jeans
catalogo,da pra fazer calca jeans
catalogo,tem calca jeans ai
catalogo,voces fazem legging
catalogo,fazem legging
catalogo,tem legging
catalogo,vende legging
catalogo,trabalham com legging
catalogo,da pra fazer legging
catalogo,tem legging ai
catalogo,voces fazem bermuda
catalogo,tem bermuda
catalogo,produzem bermuda
catalogo,vende bermuda
catalogo,trabalham com bermuda
catalogo,da pra fazer bermuda
catalogo,tem bermuda ai
catalogo,voces fazem regata
catalogo,fazem regata
catalogo,produzem regata
catalogo,vende regata
catalogo,trabalham com regata
catalogo,da pra fazer regata
catalogo,tem regata ai
catalogo,voces fazem vestido midi
catalogo,fazem vestido midi
catalogo,produzem vestido midi
catalogo,vende vestido midi
catalogo,trabalham com vestido midi
catalogo,da pra fazer vestido midi
catalogo,tem vestido midi ai
catalogo,voces fazem baby look
catalogo,tem baby look
catalogo,produzem baby look
catalogo,vende baby look
catalogo,trabalham com baby look
catalogo,da pra fazer baby look
catalogo,tem baby look ai
catalogo,voces fazem jogger
catalogo,fazem jogger
catalogo,produzem jogger
catalogo,vende jogger
catalogo,trabalham com jogger
catalogo,da pra fazer jogger
catalogo,tem jogger ai
catalogo,voces fazem uniforme
catalogo,tem uniforme
catalogo,produzem uniforme
catalogo,vende uniforme
catalogo,trabalham com uniforme
catalogo,da pra fazer uniforme
catalogo,tem uniforme ai
catalogo,voces fazem jaleco
catalogo,fazem jaleco
catalogo,produzem jaleco
catalogo,vende jaleco
catalogo,trabalham com jaleco
catalogo,da pra fazer jaleco
catalogo,tem jaleco ai
catalogo,voces fazem camiseta premium
catalogo,fazem camiseta premium
catalogo,tem camiseta premium
catalogo,produzem camiseta premium
catalogo,vende camiseta premium
catalogo,trabalham com camiseta premium
catalogo,da pra fazer camiseta premium
catalogo,tem camiseta premium ai
catalogo,voces fazem oversized
catalogo,fazem oversized
catalogo,tem oversized
catalogo,vende oversized
catalogo,trabalham com oversized
catalogo,da pra fazer oversized
catalogo,tem oversized ai
compat_tecido_produto,recomenda algodao pra camiseta
compat_tecido_produto,recomenda jeans pra camiseta
compat_tecido_produto,camiseta de suplex fica bom
