"id_intencao","palavras_chave","tipo_resposta","resposta_padrao","pergunta_followup","peso"
"saudacao","olá|ola|oi|oii|oie|eai|eae|bom dia|boa tarde|boa noite|boa madrugada|tudo bem|tudo certo|beleza|blz|hello|hi|opa|salve|hey|e ai|e ae","direta","Olá! Eu sou o assistente do setor de produção da Fashion Flow. Posso te ajudar com dúvidas sobre processos, tecidos, personalização, qualidade, sustentabilidade, cuidados com a peça e prazos. Sobre o que você quer saber?","","3"
"saudacao_girias1","mano|bro|brother|vei|véi|parceiro|truta|fala aí|fala ai|rapaz|chefe|parça|patrão|brabo","direta","Fala mano! Tô aqui pra te ajudar com a produção da Fashion Flow. Manda o papo!","","3"
"saudacao_girias2","mana|diva|bicha|bixa|minha flor|amiga|amiga querida","direta","Manda a boa, mana! Sou o bot da produção da Fashion Flow, em que posso ajudar?","","3"
"despedida","tchau|até logo|ate logo|até mais|ate mais|flw|valeu|vlw|obrigado|obrigada|obg|grato|grata|abraço|abraco|era só isso|resolvido|até a próxima|falou","direta","Foi um prazer te ajudar! Qualquer coisa, é só voltar a falar comigo. Até mais!","","3"
"agradecimento_continuo","obrigada mas|valeu mas|obg mas|obrigado mas|brigada mas","direta","Imagina, fico feliz em ajudar! Pode mandar a próxima dúvida.","","3"
"qualidade","qualidade|sobre qualidade|tópico qualidade","guiada","Sobre qualidade, o que você quer saber?","Originalidade das peças|Durabilidade|Controle de qualidade|Defeitos de fabricação|Certificações","4"
"qualidade_originalidade","original|originais|autêntica|autentica|falso|falsa|falsificado|falsificada|pirata|é original|peça original","direta","Todas as peças da Fashion Flow são originais e produzidas internamente em nossa fábrica. Não revendemos peças de terceiros nem trabalhamos com produtos importados de qualidade duvidosa. Cada peça leva nossa etiqueta e código de rastreabilidade interna.","","6"
"qualidade_durabilidade","durabilidade|durável|duravel|aguenta|quantas lavagens|resistente|resistência|rasga|rasgar|roupa boa|roupa barata|vida útil|dura quanto|dura muito|dura bastante|dura por quanto tempo","direta","Nossas peças são desenvolvidas para resistir entre 50 e 80 lavagens mantendo cor, forma e textura, desde que respeitados os cuidados da etiqueta. Tecidos premium (alfaiataria, jeans pesado) chegam a 120 lavagens.","","6"
"qualidade_controle","controle de qualidade|inspeção|inspecao|verificação|verificacao|testar peça|teste de qualidade|como verificam|verificam as pecas|verificam a peca|conferem as pecas","direta","Cada peça passa por 3 etapas de controle: 1) inspeção do corte, 2) revisão pós-costura, 3) inspeção final antes da embalagem. Peças com qualquer desvio são retrabalhadas ou descartadas conforme a gravidade.","","6"
"qualidade_defeito","veio com defeito|defeito de fabricação|peça com defeito|problema na peça|estragou|defeituosa|saiu errada|veio errada|costura solta|furo na peça|chegou com problema|chegou com defeito|veio com problema","direta","Se sua peça apresentou defeito de fabricação, esse atendimento é feito pelo setor de devoluções. Vou te encaminhar.","","6"
"qualidade_certificacoes","certificação|certificacao|certificado|certificados|selo|selos|iso|abvtex|oeko-tex|bci|certificação de qualidade","direta","A Fashion Flow possui: certificação BCI (Better Cotton Initiative) para algodão sustentável, OEKO-TEX Standard 100 para ausência de substâncias nocivas em alguns tecidos, e estamos em processo de certificação ABVTEX para responsabilidade social. Documentação disponível mediante solicitação.","","6"
"personalizacao","personalização|personalizacao|customização|customizacao|fazem personalizado|aceitam personalização|posso personalizar|personalizar|customizar|tipos de estampa|fazem estampa|faz estampa","guiada","A Fashion Flow trabalha com personalização. O que você quer saber?","Escolha uma opção: Tipos de personalização|Cores disponíveis|Tamanhos disponíveis|Quantidade mínima|Prazo de personalização|Envio de arte","4"
"personalizacao_tipos","tipos de personalização|opções de personalização|que tipo de personalização|formas de personalizar","guiada","Trabalhamos com 4 tipos de personalização. Qual te interessa?","Escolha uma opção: Estampa silkscreen|Estampa DTF (digital)|Bordado|Etiqueta personalizada|Modelagem exclusiva","4"
"personalizacao_silkscreen","silk|silkscreen|serigrafia|estampa serigrafia|silk screen|estampa tradicional","direta","Silkscreen (serigrafia) é a técnica tradicional de estampa. Ideal para tiragens acima de 30 peças (melhor custo por peça). Trabalha bem com até 6 cores por arte (cada cor é uma tela). Estampa muito resistente à lavagem. Setup leva 2 dias úteis e a produção em si 3 a 5 dias.","","6"
"personalizacao_dtf","dtf|impressão digital|impressao digital|estampa digital|digital printing|estampa de qualquer cor","direta","DTF (Direct to Film) é impressão digital. Ideal para tiragens pequenas (a partir de 5 peças) e desenhos com muitas cores ou gradientes — sem limite de cores. Prazo de 2 a 4 dias úteis. Custo por peça maior que silkscreen, mas vale a pena em quantidade pequena.","","6"
"personalizacao_bordado","bordado|bordar|bordadinho|máquina de bordar|maquina de bordar|gravar nome bordado","direta","Bordado é feito em máquina computadorizada. Aceitamos até 12 cores de linha por arte. Áreas pequenas (até 10cm) em 3 dias úteis; áreas maiores até 7 dias. Mínimo de 10 peças. Ideal para peitos, mangas e golas. Confere acabamento premium.","","6"
"personalizacao_etiqueta","etiqueta personalizada|etiqueta própria|etiqueta propria|etiqueta da marca|branding|marca própria|marca propria|etiqueta da minha marca|minha etiqueta","direta","Etiquetas personalizadas: etiqueta de gola, etiqueta de composição e tag externa. Necessário enviar arte; pedido mínimo de 50 peças por modelo. Atendemos clientes com marca própria que querem usar nossa estrutura produtiva mantendo branding próprio.","","6"
"personalizacao_modelagem_exclusiva","modelagem exclusiva|modelagem própria|modelagem propria|criar peça do zero|criar modelo|peça do zero|modelagem customizada|modelo único","direta","Modelagem exclusiva: criamos um modelo único a partir do briefing do cliente. Inclui ficha técnica, prova piloto e ajustes. Pedido mínimo de 100 peças e prazo de desenvolvimento de 20 a 30 dias úteis antes da produção começar.","","6"
"personalizacao_cores","cores disponíveis|cores na peça|paleta de cores|que cores tem|quais cores|cores em estoque|cores","guiada","Sobre cores, o que você quer saber?","Escolha uma opção: Cores básicas em estoque|Tingimento sob demanda|Combinação cor peça/estampa|Limite de cores por técnica","4"
"cores_basicas","cores básicas|cores em estoque|cores pronta entrega|paleta padrão|cores padrão|cores comuns|cores normais","direta","Mantemos 12 cores em estoque permanente: branco, preto, cinza mescla, cinza chumbo, azul marinho, azul royal, vermelho, vinho, verde militar, verde bandeira, amarelo e rosa. Pronta entrega, sem prazo adicional.","","6"
"cores_sob_demanda","tingir|tingimento|cor personalizada|cor específica|cor especial|cor pantone|pantone|cor fora da paleta|tingir tecido|tingem|tinge","direta","Cores fora da nossa paleta padrão são tingidas sob demanda. Pedido mínimo de 80 peças por cor e prazo adicional de 7 a 10 dias úteis. Aceitamos referência Pantone para tingimento exato. Para tons pastel ou neon, prazo pode ser maior.","","6"
"cores_combinacao","combinar cor|combinação de cor|estampa em peça escura|estampa em peça clara|cor da estampa|base branca","direta","Para combinação cor-da-peça com cor-da-estampa, recomendamos sempre amostra física antes da produção em massa. Cores claras em tecidos escuros precisam de uma camada de base branca na estampa (que adiciona custo de cerca de 15% à peça).","","6"
"cores_limite_tecnica","quantas cores na estampa|limite de cores|máximo de cores|cores na arte|quantas cores aceita","direta","Limites de cor por técnica: silkscreen aceita até 6 cores por arte (cada cor é uma tela); DTF (digital) não tem limite de cores; bordado aceita até 12 cores de linha. Para artes com mais de 6 cores, indicamos DTF.","","6"
"personalizacao_tamanhos","tamanhos|grade de tamanho|tabela de tamanho|que tamanhos|quais tamanhos|tem tamanho","guiada","Sobre tamanhos, o que você precisa saber?","Escolha uma opção: Grade adulto|Grade infantil|Plus size|Tabela de medidas","4"
"tamanhos_adulto","tamanho adulto|grade adulto|pp p m g gg|xgg|tamanho m|tamanho g|tamanho pp","direta","Grade adulta Fashion Flow: PP, P, M, G, GG e XGG. Todos os tamanhos disponíveis sem custo adicional em qualquer peça do nosso catálogo.","","6"
"tamanhos_infantil","tamanho infantil|roupa infantil|tamanho criança|tamanho de crianca|2 anos|4 anos|8 anos|10 anos|12 anos|14 anos|tamanho juvenil","direta","Grade infantil Fashion Flow: 2, 4, 6, 8, 10, 12 e 14 anos. Modelagem específica para criança (não é redução da grade adulta). Tecidos selecionados para pele sensível.","","6"
"tamanhos_plus_size","plus size|tamanho plus|g1|g2|g3|g4|tamanho grande|tamanho especial|além do gg|alem do gg","direta","Plus size adulto: G1 (equivalente a EGG), G2, G3 e G4. Modelagem própria, não é simples ampliação do GG. Disponível em toda a linha exceto modelagens muito justas (algumas leggings esportivas).","","6"
"tamanhos_tabela_medidas","tabela de medidas|medidas em centímetros|medidas em cm|busto|cintura|quadril|comprimento|guia de medidas|como medir","direta","A tabela de medidas em centímetros (busto, cintura, quadril, comprimento, manga) está disponível em PDF. Vou te encaminhar para o setor de vendas que envia a tabela atualizada.","","6"
"personalizacao_quantidade","quantidade mínima|quantidade minima|mínimo|minimo|pedido mínimo|quantas peças|atacado ou varejo","guiada","Sobre quantidades, o que você quer saber?","Escolha uma opção: Mínimo por tipo de personalização|Mínimo por cor|Pedidos grandes (500+)|Pedidos pequenos (até 30)","4"
"qtd_minima_personalizacao","mínimo por peça|mínimo silkscreen|mínimo dtf|mínimo bordado|quantidade mínima por técnica","direta","Quantidade mínima por técnica: silkscreen 30 peças; DTF 5 peças; bordado 10 peças; etiqueta personalizada 50 peças; modelagem exclusiva 100 peças.","","6"
